id,station,x,y,docks,deployment_year
A32000,Fan Pier,-71.0446,42.3534,15,2011
A32001,Union Square - Brighton Ave at Cambridge St,-71.1373,42.3533,19,2011
A32002,Commonwealth Ave at Agganis Way,-71.119,42.3517,19,2011
A32003,B.U. Central - 725 Comm. Ave.,-71.1083,42.3504,11,2011
A32004,Longwood Ave at Binney St,-71.1065,42.3386,15,2011
A32005,Brighton Mills - 370 Western Ave,-71.1378,42.3615,15,2011
A32006,Soldiers Field Park - 111 Western Ave,-71.1183,42.3643,15,2011
A32008,Park Dr at Buswell St,-71.1053,42.3472,15,2012
A32009,South End Library - Tremont St at W Newton St,-71.0768,42.3413,15,2011
A32010,South Station - 700 Atlantic Ave,-71.0555,42.3522,47,2011
A32011,Innovation Lab - 125 Western Ave at Batten Way,-71.1246,42.3637,19,2011
A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,-71.1238,42.3523,27,2011
A32013,Surface Rd at India St,-71.0522,42.3582,19,2015
A32017,Commonwealth Ave at Griggs St,-71.1328,42.3492,15,2012
A32019,175 N Harvard St,-71.1292,42.3638,18,2014
A32022,Edwards Playground - Main St at Eden St,-71.0686,42.379,19,2015
A32023,Bunker Hill Community College,-71.0691,42.3741,23,2015
A32025,Nashua Street at Red Auerbach Way,-71.0643,42.3657,37,2016
A32026,Purchase St at Pearl St,-71.0532,42.3547,19,2016
A32027,NA,-71.0274,42.3798,15,pre-2017
A32028,Bennington St at Byron St,-71.0162,42.3835,15,2016
A32029,Piers Park,-71.0353,42.365,19,2016
A32030,Maverick Square - Lewis Mall,-71.0398,42.3688,33,2016
A32031,East Boston Neighborhood Health Center - 20 Maverick Square,-71.0394,42.3695,16,2016
A32032,Airport T Stop - Bremen St at Brooks St,-71.0328,42.3741,15,2016
A32033,The Eddy - New St at Sumner St,-71.0442,42.3707,15,2016
A32034,Glendon St at Condor St,-71.0302,42.3824,19,2016
A32035,Orient Heights T Stop - Bennington St at Saratoga St,-71.0061,42.3868,19,2016
A32036,Boston East - 126 Border St,-71.041,42.3733,15,2016
A32037,Washington St at Egremont Rd,-71.1413,42.3429,15,2018
A32038,Faneuil St at Arlington St,-71.1599,42.3528,15,2018
A32039,Bennington St at Constitution Beach,-71.0106,42.3852,17,2018
A32040,Honan Library,-71.1285,42.3603,15,2018
A32041,Central Square East Boston,-71.0392,42.3754,15,2019
A32042,Surface Rd at Summer St,-71.0566,42.3529,27,2019
A32043,Western Ave at Richardson St,-71.1439,42.3618,19,2019
A32044,Maverick St at Massport Path,-71.0334,42.3677,15,2019
A32045,Boston Landing,-71.1417,42.3566,17,2019
A32046,Canal St at Causeway St,-71.0609,42.3653,23,2020
A32047,Broad St at Central St,-71.0543,42.3585,0,2020
A32048,Marion St at White St,-71.0391,42.3807,0,2020
A32049,Gove St at Orleans St,-71.0356,42.3706,19,2020
A32050,Porzio Park,-71.0288,42.3641,17,2020
A32051,Day Sq,-71.0277,42.3793,16,2020
A32052,Harvard Stadium: N. Harvard St at Soldiers Field Rd,-71.1242,42.368,15,2020
A32053,Valenti Way at Haverhill St,-71.0593,42.3647,24,2021
B32000,Newbury St at Hereford St,-71.086,42.3487,23,2011
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,-71.088,42.3362,18,2011
B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,-71.1029,42.3374,25,2011
B32004,Aquarium T Stop - 200 Atlantic Ave,-71.0514,42.3599,23,2011
B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,-71.0858,42.3437,19,2011
B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,-71.1006,42.3401,15,2011
B32007,Seaport Square - Seaport Blvd at Northern Ave,-71.0444,42.3515,19,2011
B32008,Boston City Hall - 28 State St,-71.0576,42.3589,21,2011
B32010,Kenmore Square,-71.097,42.3487,27,2011
B32011,NA,-71.0975,42.3447,19,pre-2017
B32012,Northeastern University - North Parking Lot,-71.0902,42.3418,15,2011
B32013,Brigham Circle - Francis St at Huntington Ave,-71.1041,42.3346,15,2011
B32014,Seaport Hotel - Congress St at Seaport Ln,-71.0417,42.3488,19,2011
B32015,Landmark Center - Brookline Ave at Park Dr,-71.1024,42.3437,15,2011
B32016,Beacon St at Massachusetts Ave,-71.0898,42.3508,19,2011
B32017,Dudley Square - Bolling Building,-71.0839,42.3298,18,2011
B32018,Boylston St at Massachusetts Ave,-71.0868,42.3474,15,2011
B32020,Burlington Ave at Brookline Ave,-71.1007,42.3457,15,2013
B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,-71.0963,42.3376,14,2015
B32022,Roxbury YMCA - Warren St at MLK Blvd,-71.0824,42.3179,11,2016
B32023,MLK Blvd at Washington St,-71.0913,42.3214,15,2016
B32025,Uphams Corner T Stop - Magnolia St at Dudley St,-71.0698,42.3187,15,2016
B32026,Washington St at Melnea Cass Blvd,-71.0812,42.3328,19,2016
B32027,NCAAA - Walnut Ave at Crawford St,-71.0919,42.3169,15,2016
B32028,Grove Hall Library - 41 Geneva Ave,-71.081,42.3079,15,2016
B32029,Columbia Rd at Ceylon St,-71.0729,42.3096,15,2016
B32030,Walnut Ave at Warren St,-71.0832,42.3241,15,2016
B32031,Bowdoin St at Quincy St,-71.0651,42.3079,15,2016
B32032,Government Center - Cambridge St at Court St,-71.0598,42.3598,23,2018
B32033,Huntington Ave at Mass Art,-71.0989,42.3366,15,2018
B32034,Boylston St at Jersey St,-71.0973,42.3447,15,2018
B32035,Cleveland Circle,-71.1506,42.3355,15,2018
B32036,One Brigham Circle,-71.1045,42.3339,15,2018
B32037,Deerfield St at Commonwealth Ave,-71.0973,42.3492,19,2018
B32055,Bartlett St at John Elliot Sq,-71.0902,42.3295,15,2018
B32056,Tremont St at Hamilton Pl,-71.0617,42.3567,19,2018
B32057,Blue Hill Ave at Southwood St,-71.078,42.3179,15,2018
B32058,Lansdowne T Stop,-71.1002,42.3473,27,2019
